fov;colorfactor 0;colorfactor 0.5;colorfactor 1
1;100,0;100,0;100,0
2;99,98851851851852;90,78148148148148;84,9037037037037
3;99,98851851851852;90,78148148148148;84,9037037037037
4;99,9874074074074;90,78148148148148;84,9037037037037
5;99,9874074074074;90,78148148148148;84,90074074074074
6;99,9874074074074;90,78148148148148;84,89296296296297
7;99,9874074074074;90,77851851851852;84,87296296296296
8;99,9874074074074;90,75555555555556;84,79481481481481
9;99,9874074074074;90,65629629629629;84,53222222222222
10;99,9874074074074;90,33888888888889;83,85851851851852
11;99,9874074074074;89,62;82,4162962962963
12;99,9874074074074;88,56703703703704;80,43444444444444
13;99,9874074074074;87,50111111111111;78,34037037037038
14;99,9874074074074;86,47259259259259;76,40629629629629
15;99,9874074074074;85,57703703703703;74,73185185185184
16;99,98555555555555;84,85111111111111;73,19740740740741
17;99,98555555555555;84,16925925925926;71,85777777777778
18;99,98555555555555;83,59185185185186;70,66740740740741
19;99,98555555555555;83,07888888888888;69,57814814814814
20;99,98555555555555;82,64370370370371;68,60666666666667
21;99,98555555555555;82,22925925925927;67,72814814814815
22;99,98555555555555;81,8788888888889;66,9562962962963
23;99,98555555555555;81,55592592592592;66,33259259259259
24;99,98555555555555;81,27185185185185;65,82481481481481
25;99,98555555555555;81,05111111111111;65,41407407407408
26;99,98555555555555;80,84962962962963;65,09851851851852
27;99,98555555555555;80,68666666666667;64,8374074074074
28;99,98555555555555;80,55037037037037;64,62333333333333
29;99,98555555555555;80,44444444444444;64,45481481481482
30;99,98555555555555;80,35962962962964;64,29888888888888
31;99,98555555555555;80,28518518518518;64,17407407407407
32;99,98518518518519;80,2188888888889;64,09740740740742
33;99,98518518518519;80,17555555555555;64,03740740740741
34;99,98518518518519;80,14703703703704;64,01518518518519
35;99,98518518518519;80,14703703703704;64,00851851851851
36;99,98518518518519;80,14444444444445;64,02444444444444
37;99,98518518518519;80,16925925925926;64,06555555555556
38;99,98518518518519;80,19518518518518;64,10925925925926
39;99,98518518518519;80,23296296296297;64,16666666666666
40;99,98518518518519;80,28888888888889;64,23888888888888
41;99,98518518518519;80,33740740740741;64,31888888888889
42;99,98518518518519;80,40333333333334;64,40185185185186
43;99,98518518518519;80,47296296296297;64,49185185185185
44;99,98518518518519;80,56222222222222;64,59925925925927
45;99,98518518518519;80,64777777777778;64,71777777777777
46;99,98518518518519;80,73222222222222;64,8362962962963
47;99,98518518518519;80,81703703703704;64,96814814814815
48;99,98518518518519;80,91740740740741;65,0911111111111
49;99,98518518518519;81,01518518518519;65,23148148148148
50;99,98518518518519;81,10925925925926;65,36185185185185
51;99,98518518518519;81,20333333333333;65,5111111111111
52;99,98518518518519;81,2937037037037;65,67888888888888
53;99,98518518518519;81,38777777777779;65,83592592592592
54;99,98518518518519;81,48444444444445;65,99518518518519
55;99,98518518518519;81,58851851851853;66,16851851851851
56;99,98518518518519;81,69407407407408;66,34629629629629
57;99,98518518518519;81,80259259259259;66,51407407407407
58;99,98518518518519;81,9011111111111;66,7062962962963
59;99,98407407407407;82,00222222222223;66,88851851851851
60;99,98407407407407;82,11666666666667;67,08185185185185
61;99,98407407407407;82,22555555555556;67,27925925925926
62;99,98407407407407;82,33296296296297;67,47925925925927
63;99,98407407407407;82,44222222222223;67,68037037037037
64;99,98407407407407;82,5425925925926;67,86592592592592
65;99,98407407407407;82,65;68,05592592592592
66;99,98407407407407;82,76407407407407;68,25518518518518
67;99,98407407407407;82,87481481481481;68,47037037037038
68;99,98407407407407;82,97962962962963;68,66777777777779
69;99,98407407407407;83,10666666666667;68,85555555555555
70;99,98407407407407;83,22814814814815;69,0625925925926
71;99,98407407407407;83,33296296296297;69,25851851851851
72;99,98407407407407;83,4437037037037;69,4674074074074
73;99,98407407407407;83,55851851851853;69,70592592592592
74;99,98407407407407;83,67925925925925;69,92481481481482
75;99,98407407407407;83,78814814814815;70,15074074074074
76;99,98407407407407;83,90148148148148;70,36074074074074
77;99,98407407407407;84,01296296296296;70,5774074074074
78;99,98407407407407;84,14185185185185;70,78740740740741
79;99,98407407407407;84,25259259259259;71,02555555555556
80;99,98407407407407;84,36222222222221;71,24444444444444
81;99,98407407407407;84,46666666666667;71,4525925925926
82;99,98407407407407;84,58481481481482;71,66962962962963
83;99,98407407407407;84,69148148148147;71,89481481481482
84;99,98407407407407;84,78666666666666;72,10703703703703
85;99,98407407407407;84,89518518518518;72,3125925925926
86;99,98407407407407;84,9937037037037;72,51481481481481
87;99,98407407407407;85,10333333333334;72,71888888888888
88;99,98407407407407;85,20592592592592;72,93185185185186
89;99,98407407407407;85,29925925925926;73,13407407407408